City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,arroyito,-31.4202,-63.05,55.11,76,61,1.03,AR,1683697836
328,barra de santo antonio,-9.4047,-35.5072,72.68,83,3,4.0,BR,1683697836
329,caleta de carquin,-11.0925,-77.6267,70.54,88,27,9.04,PE,1683697836
330,inirida,3.8653,-67.9239,74.32,98,100,2.62,CO,1683697836
331,bafoulabe,13.8065,-10.8321,90.36,31,100,1.16,ML,1683697837
332,putnam,36.1667,-85.65,59.83,94,40,0.0,US,1683697837
333,selkirk,50.1436,-96.8845,62.67,68,40,3.0,CA,1683697807
334,karratha,-20.7377,116.8463,82.96,20,84,16.2,AU,1683697837
335,mermoz boabab,14.7065,-17.4758,73.96,84,64,6.55,SN,1683697837
336,baihe,22.15,107.2333,85.08,73,84,4.63,CN,1683697837
337,morant bay,17.8815,-76.4093,76.71,84,67,9.82,JM,1683697837
338,palmas,-10.2128,-48.3603,73.27,94,0,4.61,BR,1683697837
339,darwin,-12.4611,130.8418,88.05,33,0,11.99,AU,1683697838
340,las tablas,7.7667,-80.2833,78.17,99,88,8.9,PA,1683697838
341,aur,8.1499,171.1687,81.07,86,100,16.58,MH,1683697838
342,shaowu,27.3409,117.4831,80.58,59,42,1.77,CN,1683697838
343,afaahiti,-17.75,-149.2833,76.87,86,69,20.78,PF,1683697838
344,kotlas,61.2611,46.6556,52.92,62,97,5.06,RU,1683697838
345,mponela,-13.5319,33.7401,57.29,60,0,8.32,MW,1683697838
346,juneau,58.3019,-134.4197,53.6,82,100,5.75,US,1683697735
347,alofi,-19.0595,-169.9187,78.69,83,9,4.61,NU,1683697839
348,bocas del toro,9.3333,-82.25,80.58,78,38,6.87,PA,1683697839
349,ceres,37.5949,-120.9577,57.79,67,0,13.8,US,1683697839
350,anloga,5.7947,0.8973,83.97,78,48,12.5,GH,1683697839
351,herat,34.5,62.0,87.46,7,84,4.83,AF,1683697839
352,teple,48.3086,39.5737,40.8,95,100,12.86,UA,1683697839
353,ampanihy,-24.7,44.75,77.76,53,0,4.83,MG,1683697839
354,xining,36.6167,101.7667,48.9,48,100,4.23,CN,1683697840
355,queenstown,-31.8976,26.8753,57.42,39,5,2.82,ZA,1683697840
356,jeddah,21.5169,39.2192,78.66,53,0,10.36,SA,1683697840
357,salekhard,66.53,66.6019,31.1,91,89,2.35,RU,1683697840
358,creel,27.75,-107.6333,43.68,26,14,4.21,MX,1683697840
359,kodinsk,58.6881,99.1844,46.87,34,81,8.66,RU,1683697840
360,hlusk,52.903,28.6845,49.69,54,62,4.9,BY,1683697840
361,yuzhno-kurilsk,44.0306,145.8556,42.01,95,100,7.49,RU,1683697840
